Магазин;Координаты;Дата и время;Товар;Производитель;Номер карты;Количество;Цена
М.Видео;60.058204, 30.335195;2024-10-29T16:53;саундбар;tcl;2200 5672 8119 9537;4;40220
Яндекс Маркет;59.935926, 30.267179;2024-04-24T12:37;спортивная куртка;lotto;2200 5624 3945 9666;5;24640
DNS;60.03567, 30.453346;2024-01-15T15:49;наушники;yamaha;2200 5616 8234 5944;5;63940
Ситилинк;59.850778, 30.394586;2024-06-21T11:38;смартфон;apple;4306 4398 8873 4088;5;136465
Wildberries;59.928378, 30.318505;2024-11-08T14:05;костюм;yves saint laurent;2200 5651 6294 2526;7;793604
Твоё;59.829004, 30.378286;2024-01-24T20:51;рубашка;levis;5112 2357 4310 2839;1;3025
DNS;59.949074, 30.234808;2024-12-17T14:16;камера;lg;2200 5635 4118 6522;5;96100
ВкусВилл;59.938905, 30.376301;2024-11-18T11:26;масло;Бежин луг;2202 2010 1476 7700;1;57
Finn Flare;59.98751, 30.355049;2024-12-11T14:59;футболка;calvin klein;2200 7035 3623 7985;4;10440
Гипер Лента;59.89301, 30.281714;2024-05-17T12:55;ряженка;Danone;2200 5691 6386 6758;4;132
Пятёрочка;59.903847, 30.312851;2024-02-05T08:10;супы;Campbell's;5211 9463 2401 2278;4;784
ВкусВилл;59.930532, 30.411229;2024-10-05T16:26;йогурт;Danone;2200 5629 7939 9810;2;140
Красное&Белое;59.918249, 30.280526;2024-06-06T09:23;консервированные овощи;Heinz;4306 4339 9757 1288;2;234
Гипер Лента;59.724489, 30.083939;2024-04-19T13:42;масло;Добрыня;4306 4399 7185 8799;3;324
Lichi;59.820557, 30.31807;2024-03-25T11:04;кеды;timberland;2200 5637 1893 2201;3;10737
DNS;59.942038, 30.276872;2024-09-16T14:35;колонки;beats;2200 5675 2022 9139;5;58900
Яндекс Маркет;59.940391, 30.264532;2024-01-16T19:45;джемпер;calvin klein;2200 5621 2208 1020;3;21888
Ситилинк;59.878086, 30.442428;2024-03-17T16:04;телевизор;sony;2200 7031 3675 8748;1;38027
Перекрёсток;59.84661, 30.24436;2024-04-12T12:37;йогурт;Валио;2200 7023 2762 1444;1;58
Гипер Лента;59.990629, 30.659102;2024-11-29T16:14;масло;Parmalat;4306 4320 4525 9906;2;166
Глобус;60.03683, 30.345774;2024-03-16T14:06;сметана;Добрыня;2200 5620 4447 8038;7;826
Красное&Белое;59.925173, 30.283897;2024-06-02T20:09;кетчуп;Calve;2200 5661 9315 6310;5;530
restore:;60.033526, 30.367769;2024-05-11T17:27;мышь;hp;2200 5633 7089 6493;5;7955
Глобус;59.918839, 30.297876;2024-03-03T19:40;кефир;Простоквашино;2200 5663 5833 4086;1;28
Красное&Белое;59.928311, 30.245014;2024-09-07T21:08;шоколад;Нестле Россия;2202 2024 4791 7064;6;1392
Finn Flare;59.820395, 30.318179;2024-12-19T09:38;джинсы;wrangler;4986 2972 5019 8691;1;5557
Street Beat;60.00455, 30.300799;2024-06-01T16:08;куртка;pull&bear;2200 5633 2651 7811;3;12264
DNS;59.883189, 30.370514;2024-09-06T20:41;камера;lg;4306 4397 8046 6737;4;86872
Спортмастер;59.849006, 30.145713;2024-04-05T10:10;брюки;asics;2202 2091 9861 8379;1;3125
Wildberries;59.921618, 30.286059;2024-04-20T14:34;брюки;salomon;2200 5641 4705 9767;3;28104
Красное&Белое;59.962893, 30.306315;2024-02-21T16:39;вода;Coca-Cola;2200 5658 7799 4336;6;324
Красное&Белое;59.920715, 30.2826;2024-02-09T13:50;колбаса;Велком;2200 5677 6214 3317;6;1830
Красное&Белое;59.943082, 30.264807;2024-03-23T16:21;йогурт;ВкусВилл;4306 4357 4443 3375;1;74
Эльдорадо;59.910958, 30.444849;2024-07-17T11:07;планшет;samsung;2200 5694 4881 4174;5;126135
Яндекс Маркет;59.921132, 30.307622;2024-12-24T09:39;пуховик;canada goose;2200 5675 8647 7258;5;297715
Стокманн;59.849335, 30.145502;2024-06-24T17:12;туфли;armani;4986 2988 4877 8566;5;141855
Спортмастер;59.91092, 30.446003;2024-05-22T13:37;ботинки;salomon;2200 5611 6833 5757;1;6541
Глобус;59.969676, 30.338688;2024-01-31T13:52;масло;Слобода;2200 5638 9008 3364;4;816
Ситилинк;60.011288, 30.277731;2024-04-06T16:00;телевизор;tcl;2200 5626 9579 1519;5;176885
DNS;59.879634, 30.265557;2024-08-07T12:49;проектор;lg;2200 5676 7123 5987;1;62837
Гипер Лента;60.061378, 30.392673;2024-11-12T16:57;приправы;McCormick;5211 9417 3376 2537;2;264
Красное&Белое;59.928311, 30.245014;2024-08-09T18:22;конфеты;Нестле Россия;2200 7015 8584 4905;6;1776
М.Видео;60.049199, 30.444606;2024-08-15T10:57;лампа;philips;2200 4093 7926 2795;5;5115
Rendez-Vous;59.932551, 30.359099;2024-11-21T13:51;джинсы;levis;5211 9482 4777 1491;6;32832
Технопарк Новикова;60.027195, 30.273621;2024-02-10T18:09;усилитель;onkyo;2200 5697 4148 5239;1;34767
М.Видео;59.863891, 30.165287;2024-08-31T09:42;проектор;lg;2200 7043 7234 2805;5;225770
Яндекс Маркет;59.928934, 30.372426;2024-02-29T12:11;напитки;Очаково;2200 5676 7736 9382;3;171
Перекресток;59.919056, 30.339535;2024-06-27T15:22;сыр;President;5112 2313 5058 5896;5;445
ВкусВилл;59.959616, 30.316999;2024-07-25T12:22;молоко;ВкусВилл;5112 2342 4239 6315;1;28
Супер Лента;59.967324, 30.299453;2024-04-08T17:45;приправы;Махеев;2200 5641 9348 4307;5;655
Пятёрочка;59.804585, 30.078572;2024-06-10T11:46;масло;Село Зеленое;2200 5612 7689 2489;7;357
Гипер Лента;59.940061, 30.417131;2024-08-20T10:47;масло;Домик в деревне;5112 2378 5858 1619;1;157
Wildberries;59.95767, 30.353531;2024-04-02T16:41;костюм;gucci;5112 2312 8137 9589;5;618115
Яндекс Маркет;59.978818, 30.370144;2024-01-30T13:15;спортивная куртка;kappa;2200 4083 4292 4641;2;10464
Твоё;59.911245, 30.446169;2024-06-16T12:21;спортивные брюки;under armour;5112 2330 1279 9661;1;3117
Ашан;59.869174, 30.350945;2024-07-18T11:31;кефир;Савушкин продукт;2200 5637 7350 2800;4;112
Гипер Лента;59.80853, 30.320981;2024-05-01T15:59;конфеты;Mars;2200 5618 9550 6368;5;555
Спортмастер;59.828727, 30.379676;2024-12-11T19:34;куртка;napapijri;2202 2097 1629 4671;2;102374
Гипер Лента;59.917223, 30.522065;2024-09-04T11:12;йогурт;Агуша;2200 4072 2362 7722;1;95
Яндекс Маркет;59.904928, 30.316752;2024-06-27T09:38;рубашка;h&m;2200 7047 8219 6798;4;7044
Перекрёсток;59.955533, 30.409913;2024-05-29T09:42;масло;Parmalat;2200 5649 8471 7030;1;82
Яндекс Маркет;59.921889, 30.370316;2024-06-04T10:00;ботинки;mammut;2200 7067 5008 6686;7;98434
Яндекс Маркет;59.928934, 30.372426;2024-06-30T14:43;суп;Bonduelle;2200 5678 3900 5866;3;384
Яндекс Маркет;59.946436, 30.239104;2024-06-24T18:39;творог;Простоквашино;5112 2325 5208 5712;2;94
DNS;59.8778, 30.357647;2024-08-09T17:21;клавиатура;logitech;2200 4057 6697 7962;2;19484
Яндекс Маркет;60.070303, 30.336514;2024-06-10T11:50;бейсболка;converse;5228 6045 4712 9228;1;1156
Гипер Лента;59.846548, 30.339106;2024-11-04T12:47;молоко;Простоквашино;2200 7049 9295 6562;4;104
DNS;59.926735, 30.321005;2024-10-30T16:12;телевизор;lg;4306 4372 1743 1551;6;155958
Яндекс Маркет;59.918796, 30.332549;2024-11-05T16:14;ряженка;Село Зеленое;5389 9416 4145 3024;7;189
Пятёрочка;59.942282, 30.272288;2024-01-25T13:08;мюсли;Nestle;2200 5616 2374 2272;4;728
Сбермаркет;59.819636, 30.316447;2024-02-16T17:43;майонез;Махеевъ;4306 4351 7505 8434;3;582
DNS;59.852389, 30.354505;2024-03-15T16:37;колонки;sony;2200 5662 8810 1922;3;27603
Ситилинк;60.145061, 30.21064;2024-06-24T15:53;планшет;oppo;5112 2348 5169 1325;7;94654
Перекрёсток;59.703591, 30.384758;2024-08-29T11:17;масло;Рузское молоко;5112 2350 7771 8160;7;385
restore:;59.926461, 30.320493;2024-07-22T09:16;усилитель;harman kardon;2200 4012 8075 7360;3;44232
Перекрёсток;59.909237, 30.514076;2024-01-15T15:26;молоко;BioMax;2200 5663 2336 7707;3;120
Магнит;59.94671, 30.27132;2024-04-26T14:47;йогурт;ФрутоНяня;5112 2353 8669 7708;5;370
Спортмастер;60.016929, 30.246609;2024-12-21T13:54;куртка;mammut;2200 7081 1998 1277;4;87904
Пятёрочка;59.933871, 30.36954;2024-08-29T19:44;шоколад;Нестле Россия;2200 5644 1969 7782;4;848
Яндекс Маркет;59.955488, 30.327765;2024-10-27T16:14;пальто;muji;4986 2961 9242 8908;4;30940
Мини Лента;59.979602, 30.377945;2024-05-18T10:29;молоко;Савушкин продукт;2200 5678 1961 8472;6;192
Павловский коммунальный технопарк;59.810663, 30.880104;2024-09-18T13:11;камера;lg;2200 5688 7022 7735;6;89544
Мини Лента;59.979602, 30.377945;2024-11-22T18:39;сосиски;Останкинское;5389 9462 1564 7178;4;832
Ашан;59.913898, 30.341063;2024-01-28T17:37;консервы;Campbell's;2200 5678 4944 8066;4;952
О'кей;59.858763, 30.229216;2024-12-11T15:28;пюре;Bonduelle;4306 4310 1269 3039;6;690
Перекрёсток;59.971116, 30.38625;2024-03-28T10:00;суп;Bonduelle;4306 4340 8642 2938;4;744
restore:;59.987391, 30.355066;2024-11-12T13:24;наушники;samsung;5389 9451 7220 9195;1;10103
Пятёрочка;59.918901, 30.280149;2024-07-17T12:06;кефир;ВкусВилл;4986 2958 7350 2864;5;135
Перекрёсток;59.919236, 30.464655;2024-12-20T15:44;приправы;Русский продукт;2200 5654 7710 4805;1;141
Красное&Белое;59.934149, 30.26734;2024-01-18T17:43;хлопья;Quaker;2202 2081 9067 2152;1;178
Гипер Лента;60.031442, 30.435033;2024-09-22T20:36;макароны;Нестле;4306 4350 3029 3119;5;520
Красные Зори;59.852386, 29.953482;2024-07-28T15:14;наушники;yamaha;4306 4314 9585 3390;6;61476
Гипер Лента;59.724489, 30.083939;2024-09-20T18:29;пюре;Nestle;5228 6084 6556 9429;2;212
Пятёрочка;59.918901, 30.280149;2024-02-17T12:56;мюсли;Здорово;2200 5632 5631 4258;5;855
Эльдорадо;59.825124, 30.380673;2024-04-16T09:08;саундбар;bang & olufsen;2200 5681 3492 2006;2;52584
Азбука вкуса;59.961122, 30.303787;2024-09-10T13:55;снеки;Lays;2200 5674 5863 4405;7;679
Wildberries;59.937806, 30.267585;2024-06-22T17:48;пуховик;napapijri;2200 5681 6230 5033;4;329328
Мини Лента;59.956293, 30.308267;2024-06-12T17:51;творог;Простоквашино;2200 5650 3746 6072;2;294
Гипер Лента;59.80712, 30.162136;2024-01-08T11:42;сметана;Милград;2200 5624 5965 8942;7;679
Wildberries;59.928378, 30.318505;2024-05-28T13:28;ремень;dr. martens;2200 5631 5711 1472;2;5676
Wildberries;59.942521, 30.359982;2024-06-10T15:13;шорты;saucony;5211 9477 9237 6549;1;3955
Эльдорадо;59.993033, 30.353408;2024-05-23T20:49;ноутбук;dell;2200 5653 7536 6917;3;96060
Rendez-Vous;59.927496, 30.35961;2024-11-03T18:06;куртка;bershka;2200 5699 5127 1054;3;14958
Finn Flare;59.793288, 30.33353;2024-10-11T08:11;рубашка;wrangler;5389 9419 7378 9347;1;2735
Яндекс Маркет;59.850902, 30.190578;2024-04-28T15:12;макароны;Лесной Гурман;2200 5638 4716 4505;3;153
Твое;59.924935, 30.320814;2024-12-26T10:27;куртка;diesel;4306 4359 4918 2879;4;21500
Магнит;59.949801, 30.225342;2024-04-27T17:48;кетчуп;Calve;2200 7018 4359 3940;4;504
Яндекс Маркет;59.93039, 30.260167;2024-09-08T18:48;рубашка;american eagle;2200 7078 4421 3040;3;9702
Wildberries;59.959497, 30.304558;2024-02-16T11:01;бейсболка;converse;4306 4370 6700 9518;6;7296
DNS;59.851368, 30.261444;2024-03-02T20:49;наушники;kef;4306 4349 9143 2739;7;74634
Гипер Лента;59.89301, 30.281714;2024-03-31T09:34;шоколад;Марс;4306 4320 5043 3334;2;548
Стокманн;59.866927, 30.349829;2024-10-07T11:36;спортивные брюки;puma;5112 2363 8209 6110;1;2192
Твое;59.850142, 30.268157;2024-05-28T08:17;свитер;stradivarius;2200 5677 9753 8835;1;2548
Спортмастер;59.875711, 30.447417;2024-05-17T15:13;куртка;moncler;2200 5623 4805 7735;5;338625
Finn Flare;59.928337, 30.361288;2024-04-11T10:41;рубашка;cos;2200 5649 8879 1253;2;2952
Яндекс Маркет;59.863894, 30.314336;2024-05-23T13:22;куртка;jack wolfskin;4306 4380 4779 4290;2;43614
Ситилинк;59.966564, 30.310314;2024-11-30T14:45;камера;lg;5112 2320 5787 9502;6;126972
Гипер Лента;59.798683, 30.39892;2024-01-06T20:28;приправы;Русский продукт;2200 5615 3621 3658;7;847
Магнит;59.925888, 30.315303;2024-09-20T12:01;масло;Село Зеленое;4986 2997 9261 6414;1;60
Rendez-Vous;60.005396, 30.300374;2024-10-04T08:07;бейсболка;vans;2202 2034 7871 3882;6;7344
ВкусВилл;59.935101, 30.271437;2024-03-09T13:18;батончики;Quaker;5112 2349 8353 2823;1;134
Магнит;59.939108, 30.284758;2024-03-02T12:01;творог;Простоквашино;2200 4021 7296 5169;4;196
Магнит;59.92881, 30.260214;2024-10-08T15:58;суп;Фрау Марта;2200 4083 2872 5292;4;264
О'кей;59.946936, 30.477584;2024-01-21T16:15;молоко 3.2%;Простоквашино;4306 4327 5700 1845;5;280
ВкусВилл;59.853333, 30.330313;2024-08-21T15:18;конфеты;Рот Фронт;2200 5650 2546 1463;2;438
ВкусВилл;59.948834, 30.475463;2024-11-28T07:16;хлопья;Nestle;4377 7376 6544 4395;4;708
ВкусВилл;59.928686, 30.37062;2024-03-24T11:21;йогурт;ВкусВилл;2200 5695 2297 9257;4;320
Спортмастер;60.033958, 30.367699;2024-05-20T15:43;куртка;lee;4306 4357 1029 3083;6;31872
Гипер Лента;60.021476, 30.604864;2024-11-13T12:53;специи;Русский продукт;4306 4382 7221 2376;4;364
Rendez-Vous;59.932551, 30.359099;2024-08-24T16:18;кеды;converse;2200 5637 7233 4067;7;25214
Глобус;59.959877, 30.440341;2024-01-20T14:22;пюре;Агуша;5211 9477 4980 6637;5;265
DNS;59.830056, 30.378885;2024-02-15T20:38;лампа;toshiba;2200 5634 8213 2614;5;5650
М.Видео;59.988312, 30.353415;2024-07-14T21:03;утюг;toshiba;2200 5618 6335 7069;3;10926
Яндекс Маркет;59.928597, 30.326117;2024-11-08T17:55;носки;adidas;2200 5686 9506 8004;7;2065
Rendez-Vous;59.849031, 30.143605;2024-04-22T13:09;шорты;champion;4986 2995 9047 6832;4;11516
Finn Flare;60.004418, 30.301392;2024-07-14T14:43;футболка;under armour;4306 4344 7884 4463;6;14022
Finn Flare;59.867328, 30.350585;2024-04-23T16:48;ботинки;timberland;2200 5613 1676 1468;3;29397
Пятёрочка;59.926185, 30.367478;2024-07-16T11:08;молоко;ЭкоНива;2200 5631 1354 8358;5;165
DNS;59.845008, 30.322844;2024-07-27T09:26;колонки;jbl;5389 9440 1401 9022;1;17947
Ситилинк;60.036124, 30.345836;2024-05-22T18:51;монитор;msi;4306 4360 5302 2889;3;39246
Перекрёсток;59.926745, 30.360907;2024-12-10T07:07;сметана;Activia;4039 3346 6722 9143;7;1113
Твоё;59.829004, 30.378286;2024-04-18T16:45;джемпер;tommy hilfiger;2200 5615 4750 4432;2;10210
Магнит;59.933668, 30.362249;2024-08-10T09:48;пиво;Балтика;2200 5621 5776 5041;6;420
Яндекс Маркет;59.881202, 30.316347;2024-05-22T19:13;кеды;new era;2200 4094 8566 5622;4;14220
Магнит;59.858461, 30.338219;2024-01-06T18:07;молоко 3.2%;Ehrmann;2200 5637 1212 7857;6;408
Супер Лента;60.066472, 30.337534;2024-02-13T18:06;десерты;Nestle;5112 2331 7126 5435;4;684
Эльдорадо;60.004835, 30.300347;2024-09-10T17:45;усилитель;onkyo;2200 4052 7972 5840;5;173580
Перекрёсток;59.926745, 30.360907;2024-06-21T13:46;конфеты;Марс;5112 2340 4179 1039;5;1125
Пятёрочка;59.917953, 30.357037;2024-08-05T10:29;йогурт;Activia;2200 5642 3802 6767;6;516
Ашан;59.913898, 30.341063;2024-06-03T14:22;крекеры;Pringles;2200 5652 3593 4498;7;665
Ситилинк;59.836205, 30.342154;2024-01-01T20:30;саундбар;sennheiser;2200 5652 1041 8186;6;209484
Ашан;59.894625, 30.513685;2024-06-03T10:59;бекон;Велком;4986 2919 5709 8993;4;1064
М.Видео;59.881219, 30.317233;2024-06-27T10:05;гарнитура;steelseries;2200 5649 8634 2762;2;13362
Пятёрочка;59.942854, 30.378972;2024-06-27T18:47;сыр;Президент;2200 5697 4053 8962;2;528
DNS;59.915074, 30.347812;2024-03-20T16:51;гарнитура;logitech;5112 2313 2655 8154;2;15580
Ашан;60.091953, 30.38196;2024-02-17T18:35;йогурт;Агуша;4306 4340 9065 9516;6;396
Красное&Белое;59.92608, 30.352315;2024-09-21T08:16;йогурт;Ehrmann;4306 4327 6300 1470;3;264
Яндекс Маркет;59.937145, 30.277776;2024-07-31T17:22;йогурт;Рузское;2200 5612 3243 2809;2;116
Lichi;59.986563, 30.354085;2024-01-25T10:36;кроссовки;fila;5112 2357 3135 8809;2;12568
Эльдорадо;59.941628, 30.276513;2024-09-15T14:01;усилитель;pioneer;2200 7065 3079 5428;1;17281
Finn Flare;59.892357, 30.513396;2024-07-18T17:02;джинсы;levi's;5112 2355 9151 8962;6;24648
Finn Flare;59.867328, 30.350585;2024-04-01T18:49;спортивные брюки;asics;2200 5641 4499 3014;5;25630
restore:;60.033526, 30.367769;2024-09-28T12:32;клавиатура;razer;2200 5611 6211 4330;6;22584
Супер Лента;60.06071, 30.43918;2024-08-17T19:54;соус;Heinz;2202 2018 4357 6939;5;515
Яндекс Маркет;59.935926, 30.267179;2024-02-21T18:12;куртка;columbia;2200 5674 8917 6880;2;14982
Ситилинк;59.850778, 30.394586;2024-01-25T17:28;проектор;panasonic;2200 5663 7746 7038;4;162900
Азбука вкуса;59.961122, 30.303787;2024-02-25T12:13;творог;Простоквашино;5112 2356 9836 2869;3;381
Street Beat;59.849421, 30.143941;2024-02-01T20:25;платье;pull&bear;2200 5667 6112 2933;3;12087
Перекрёсток;59.938498, 30.230381;2024-03-12T08:00;специи;McCormick;5112 2361 9197 6970;4;472
DNS;60.036834, 30.345854;2024-11-05T10:55;клавиатура;lenovo;2200 5681 8396 1621;6;17904
Пятёрочка;59.804585, 30.078572;2024-01-16T10:15;кефир;ВкусВилл;2200 5696 2032 8446;6;240
ВкусВилл;59.959001, 30.273189;2024-07-08T14:26;йогурт;Простоквашино;2200 7020 9647 8686;5;340
DNS;59.915074, 30.347812;2024-05-16T18:49;смартфон;vivo;2202 2073 3113 2170;6;103398
Ситилинк мини;60.066263, 30.338161;2024-12-22T13:07;монитор;dell;2200 5611 9331 9466;7;103838
М.Видео;59.926606, 30.361724;2024-02-11T09:48;колонки;pioneer;2200 5633 9699 8997;1;12760
Рандеву;60.035733, 30.364786;2024-03-08T19:58;куртка;tommy hilfiger;2200 5634 1538 3666;7;59143
Твоё;59.829004, 30.378286;2024-06-02T16:26;джинсы;wrangler;5389 9472 6755 3870;7;37702
Street Beat;59.927063, 30.361072;2024-07-05T16:51;брюки;merrell;2200 5677 7613 3941;7;38115
DNS;59.899893, 30.272049;2024-03-19T16:35;ноутбук;dell;2200 5628 1422 7050;2;65462
Ашан Сити;59.990167, 30.25689;2024-12-17T10:25;сосиски;Останкинское;4306 4316 6641 9931;7;1358
Супер Лента;59.931039, 30.404056;2024-07-28T15:15;йогурт;ФрутоНяня;5112 2375 9823 3780;2;146
Ситилинк;59.830638, 30.384687;2024-05-19T09:00;видеокарта;amd;2200 4078 7879 6186;1;39630
Ситилинк;59.878086, 30.442428;2024-09-24T16:03;колонки;sony;2200 5695 3112 8655;2;47622
DNS;59.852389, 30.354505;2024-01-15T08:20;наушники;yamaha;5112 2394 9280 4640;5;55485
Яндекс Маркет;59.916947, 30.32797;2024-11-26T14:01;куртка;wrangler;2200 4035 1321 7108;6;34410
М.Видео;59.875842, 30.36925;2024-04-07T14:33;саундбар;beats;2200 5674 7088 2601;7;235004
Wildberries;59.955807, 30.307698;2024-04-27T11:29;шорты;asics;2200 5652 2820 4655;3;7926
Глобус;60.07316, 30.343366;2024-03-09T13:08;молоко;Простоквашино;4306 4355 5405 6555;4;136
Ситилинк;58.539616, 31.262941;2024-06-29T11:38;адаптер;asus;4377 7322 3727 2833;2;3362
Rendez-Vous;59.927496, 30.35961;2024-03-01T13:04;куртка;wrangler;4306 4392 5230 2623;2;15592
Ситилинк;59.850778, 30.394586;2024-10-10T18:15;штатив;sigma;5112 2374 5397 6861;1;15254
ВкусВилл;59.904564, 30.314945;2024-10-28T10:03;творог;Савушкин продукт;2200 4090 6119 4174;4;160
Глобус;59.582141, 30.139059;2024-12-14T13:55;молоко;Савушкин продукт;2200 5672 7488 7348;2;62
Супер Лента;59.931039, 30.404056;2024-09-11T13:15;сметана;Кубанский молочник;2200 5611 7205 7158;6;318
Яндекс Маркет;59.937145, 30.277776;2024-12-28T14:29;специи;Knorr;5228 6037 6894 3341;7;602
Street Beat;59.868088, 30.350939;2024-06-04T12:27;джинсы;levi's;2200 5647 1560 7290;1;4397
Эльдорадо;59.941628, 30.276513;2024-07-29T11:51;ноутбук;acer;2200 5633 3878 2664;7;283395
Магнит;59.970901, 30.346574;2024-07-12T17:40;конфеты;Рот Фронт;5211 9446 2157 1782;4;732
Яндекс Маркет;59.927911, 30.321221;2024-08-29T10:37;пуховик;napapijri;5112 2333 2405 5067;1;81760
Магнит;59.887799, 30.270109;2024-03-23T16:45;консервы;Nestle;2200 5624 1910 7177;7;1253
Пятёрочка;59.921632, 30.344517;2024-09-12T09:44;молоко 3.2%;Агуша;2200 7080 7985 9722;6;486
Яндекс Маркет;59.918613, 30.295814;2024-08-03T17:44;мюсли;Здорово;5228 6083 2647 4958;6;714
Магнит;59.983826, 30.348758;2024-11-17T09:14;сметана;Простоквашино;4306 4347 8395 3357;5;180
Гипер Лента;60.038992, 30.24024;2024-11-19T13:10;соусы;Knorr;2200 5651 8408 5668;5;640
Rendez-Vous;60.091047, 30.381047;2024-04-04T09:38;рубашка;wrangler;2200 5663 5577 8383;6;17070
Яндекс Маркет;59.854772, 30.186159;2024-05-05T08:18;молоко;Савушкин продукт;4306 4345 3332 4075;3;93
Яндекс Маркет;59.971303, 30.433835;2024-10-15T16:08;толстовка;new era;4377 7313 8208 7003;7;37562
ВкусВилл;59.943003, 30.261354;2024-03-04T17:47;йогурт;Валио;4306 4348 5674 7180;3;204
Rendez-Vous;59.867149, 30.350016;2024-10-21T16:20;толстовка;off-white;2200 5633 7926 7925;1;20629
Гипер Лента;59.841239, 30.48442;2024-08-13T10:25;масло;Савушкин продукт;2200 5634 3476 2958;6;348
Ситилинк мини;60.052547, 30.332522;2024-09-12T10:03;мышь;logitech;2200 5655 7729 4800;7;25074
Яндекс Маркет;59.863894, 30.314336;2024-04-08T19:48;свитер;burberry;2200 4060 5420 6011;6;180222
Пятёрочка;59.804585, 30.078572;2024-12-08T19:25;батончики;Kellogg's;2200 5616 3960 5172;5;775
Гипер Лента;59.724489, 30.083939;2024-11-09T14:36;йогурт;Данон;5228 6015 8466 4381;1;68
Спортмастер;59.851341, 30.265641;2024-08-28T13:07;спортивные брюки;reebok;2200 5619 6732 1517;3;18807
Пятёрочка;59.931213, 30.348199;2024-08-04T13:24;шоколад;Ferrero;4306 4338 3978 9220;3;639
М.Видео;59.875842, 30.36925;2024-05-18T14:43;утюг;sharp;2200 5644 4767 3619;6;19668
Гипер Лента;60.031442, 30.435033;2024-01-09T11:22;сметана;Милград;2200 5646 3723 9613;7;805
Яндекс Маркет;59.988878, 30.29553;2024-05-09T14:07;футболка;tommy hilfiger;4986 2919 1400 4447;6;15486
Wildberries;59.941395, 30.350564;2024-04-14T11:40;толстовка;balenciaga;4039 3359 6804 2879;3;49458
Street Beat;59.893319, 30.513815;2024-05-12T10:32;рюкзак;mammut;2200 5666 1108 9306;4;40328
Магнит;59.96195, 29.417718;2024-03-13T18:26;напитки;Очаково;4986 2918 9367 3781;7;525
Магнит;59.893604, 30.413312;2024-08-02T16:02;газированные напитки;Coca-Cola;2200 5655 4628 4592;1;94
Эльдорадо;60.004835, 30.300347;2024-11-20T11:54;телевизор;panasonic;5112 2374 6281 8285;3;79707
Яндекс Маркет;59.978818, 30.370144;2024-12-16T10:46;шорты;adidas;2200 4071 9688 4180;5;9385
Красное&Белое;59.937738, 30.234686;2024-06-06T17:04;молоко;Село Зеленое;2200 5654 1628 3512;5;170
М.Видео;59.830831, 30.50394;2024-12-02T10:52;умные часы;garmin;2202 2069 7358 4698;5;60180
Яндекс Маркет;59.941515, 30.190159;2024-02-19T09:06;ботинки;merrell;2200 4034 7054 9836;1;12041
Гипер Лента;60.074949, 30.272381;2024-03-19T17:35;творог обезжиренный;Простоквашино;2200 5688 1834 7884;3;165
Гипер Лента;59.851775, 30.093751;2024-08-15T21:30;творог;Простоквашино;2200 5696 9756 8835;3;105
Яндекс Маркет;59.918796, 30.332549;2024-09-28T15:34;молоко 3.2%;Активиа;2200 5652 2988 5076;3;171
Магнит;59.906084, 30.312278;2024-09-21T11:16;сыр;Activia;4306 4328 4228 4967;7;1435
Ашан;60.053104, 30.389082;2024-04-15T15:19;творог;Агуша;2200 7084 2048 2943;3;153
Wildberries;59.921697, 30.347925;2024-05-12T11:31;свитер;stradivarius;2200 5692 4295 4680;1;3157
Ситилинк мини;60.052547, 30.332522;2024-04-06T09:44;камера;lg;5228 6092 4548 8290;4;65256
Яндекс Маркет;59.905076, 30.31089;2024-02-09T08:06;соус;Бондюэль;5112 2363 5287 2311;1;82
М.Видео;59.92564, 30.319245;2024-09-14T17:40;планшет;apple;2200 5690 5590 2197;1;39630
Магнит;59.928076, 30.31935;2024-11-29T15:30;кефир;Село Зеленое;2200 5656 1747 6110;2;56
Globus;60.005732, 30.29851;2024-06-21T19:22;творог обезжиренный;Валио;5112 2334 2974 9782;7;364
Спортмастер;59.900547, 30.271828;2024-01-30T15:40;ботинки;salewa;2202 2096 4237 4247;1;7518
DNS;59.920176, 30.46531;2024-04-27T08:43;клавиатура;logitech;2200 5622 8911 5325;1;7945
ВкусВилл;59.870897, 30.381458;2024-09-07T13:01;ряженка;Чудо;4306 4393 7943 6288;1;33
restore:;59.963536, 30.308129;2024-05-29T09:07;модем;asus;2200 5617 4872 6141;4;12008
Перекрёсток;59.96274, 30.294149;2024-09-04T10:21;пюре;Nestle;2200 5684 8347 5132;5;705
DNS;59.840125, 30.114265;2024-10-02T19:22;наушники;xiaomi;2200 5614 6199 3012;2;6052
Яндекс Маркет;59.945278, 30.216984;2024-10-19T10:33;кроссовки;saucony;2200 5692 6572 1393;5;32310
ВкусВилл;59.960737, 30.290392;2024-08-22T11:36;кефир;Простоквашино;2200 5653 8189 9668;5;610
Яндекс Маркет;59.999764, 30.216236;2024-05-04T09:07;спортивная куртка;champion;2200 5689 9794 3567;6;45012
О'кей;60.059238, 30.33575;2024-01-16T14:03;йогурт;Danone;2200 5683 6050 3122;7;518
Яндекс Маркет;59.928546, 30.345324;2024-06-21T16:38;спортивные брюки;under armour;2200 5681 7319 2730;2;7078
Яндекс Маркет;59.921132, 30.307622;2024-05-17T15:40;куртка;fila;2202 2079 3665 4645;5;34255
